"Order","Model","dAIC","df","Weights","AIC"
"1","Fucales","Temp*Ocean",0,8,"0.564",976.28422917984
"2","Fucales","Null",2.81052019163917,1,"0.138",979.09474937148
"3","Fucales","Ocean",2.90065490649408,4,"0.132",979.184884086334
"4","Fucales","Temp*Ocean+Sal+PAR",3.6749448732362,10,"0.09",979.959174053077
"5","Fucales","Ocean+Sal+PAR",4.84863386341658,6,"0.05",981.132863043257
"6","Fucales","Sal+PAR",6.14563472969985,3,"0.026",982.42986390954
"7","Laminariales","Temp*Ocean",0,6,"0.595",510.529979829554
"8","Laminariales","Temp*Ocean+Sal+PAR",2.66829386458863,8,"0.157",513.198273694143
"9","Laminariales","Null",3.39840108809682,1,"0.109",513.928380917651
"10","Laminariales","Ocean",4.31656667248109,3,"0.069",514.846546502035
"11","Laminariales","Sal+PAR",5.00508654267816,3,"0.049",515.535066372232
"12","Laminariales","Ocean+Sal+PAR",6.57765320843333,5,"0.022",517.107633037988
"13","Dictyotales","Null",0,1,"0.447",279.01551607395
"14","Dictyotales","Temp*Ocean+Sal+PAR",2.0307459881617,10,"0.162",281.046262062111
"15","Dictyotales","Sal+PAR",2.10357853670126,3,"0.156",281.119094610651
"16","Dictyotales","Temp*Ocean",2.70706954347861,8,"0.115",281.722585617428
"17","Dictyotales","Ocean",3.16498664174884,4,"0.092",282.180502715699
"18","Dictyotales","Ocean+Sal+PAR",5.58183467374749,6,"0.027",284.597350747697
"19","Desmarestiales","Ocean",0,2,"0.525",69.1178194280191
"20","Desmarestiales","Temp*Ocean",1.99252219234803,3,"0.194",71.1103416203672
"21","Desmarestiales","Temp*Ocean+Sal+PAR",2.26577673998295,5,"0.169",71.3835961680021
"22","Desmarestiales","Ocean+Sal+PAR",3.90065990949978,4,"0.075",73.0184793375189
"23","Desmarestiales","Null",5.52998562444427,1,"0.033",74.6478050524634
"24","Desmarestiales","Sal+PAR",9.46017585210279,3,"0.005",78.5779952801219
"25","Other","Temp*Ocean",0,7,"0.958",14.3410994049965
"26","Other","Temp*Ocean+Sal+PAR",6.28386103548348,9,"0.041",20.62496044048
"27","Other","Ocean+Sal+PAR",14.4584992909155,6,"0.001",28.799598695912
"28","Other","Sal+PAR",16.148402405986,3,"<0.001",30.4895018109825
"29","Other","Null",21.807986549718,1,"<0.001",36.1490859547145
"30","Other","Ocean",29.0099081561023,4,"<0.001",43.3510075610988
